Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
Deb Maloy,Beacon Specialized Living - Keystone PA (New Homes),Beacon Specialized Living,Sales - Inactive,PA,Austin,24,85%,2/1/2025,N/A-New Sites,Group Homes,12,REMOVE,3/28/2023,28310457660
Jess Jacobs,Northwest Community Services (NWCS),State of Missouri Habiliation Centers,Sales - Inactive,MO,KS-Lawrence,40,25%,3/1/2025,Red Cross LTC Pharmacy,,2,"Coordinating presentation with Assistant Super, Tammie Guest, DON and hab center med team.",7/21/2023,28309691539
Nanette Wrobel,AHRC Staten Island (362010),AHRC,Onboarding - Complete,NY,NJ,64,100%,5/1/2024,Various,deliver to home,12,,8/1/2023,28308763936
Blaire Reed,Assumption Arc,,Sales - Initial Communication,LA,LA,20,15%,5/1/2025,Sterling,Central Office,6,"Stopping by next week in LA

",7/7/2023,28308144268
Deb Maloy,Special Support Services,,Sales - Inactive,MO,IL,45,15%,2/1/2025,Local,FedEx,4,REMOVE,3/29/2024,28302617376
Adam Chittam,Lee County DSN,,Sales - Initial Communication,SC,SC,75,25%,9/1/2025,Palmetto,Courier,10,Rufus Britt (Fairfield Ass. ED & DSN consultant for other boards in the state) is making a warm introduction,4/1/2024,28300456066
Blaire Reed,Avant HCS (2338),,Onboarding - Complete,TX,Austin,15,100%,4/1/2024,Sealy Pharmacy,Central Office,1,Contract signed. Onboarding call schedule 2/26.,2/9/2024,28299776627
AJ Forster,Community Options - Central PA - York (377021),Community Options,Onboarding - Complete,PA,NJ,20,100%,4/1/2024,PDC,Deliver-to-home,10,"OB, 3/8: NEED Call, insurance info, cycle dates, delivery confirmation (Call with 3 region directors for CO-PA on 2/1, Central will be 4/1 go live d/t survey); Sales: Go Live 3/1 for Lancaster",11/22/2023,28296138344
Deb Maloy,Dungarvin - KY,Dungarvin,Sales - Initial Communication,KY,Austin,275,10%,7/1/2025,Pharmerica,Courier,1,"Spoke to LeAnne, will try to connect next trip-in the meantime she will also talk with her supervisor abou services. (Supervisor needs to have an interest to change before listens to a presentation)
",12/5/2023,28300610602
AJ Forster,Martha's Way,N/A,Sales - Inactive,PA,NJ,15,50%,3/1/2025,Local,Deliver to home,1,Executive Director resigned. Now called Martha's Way. Contacted Martha's way 11/5 to determine next steps. (Ex Dir - Tricia),7/2/2024,28310457659
Nanette Wrobel,NY Foundling,,Sales - Initial Communication,NY,NJ,450,20%,8/1/2025,Multiple,Courier,70,followup from previous rep,12/8/2023,28310151972
AJ Forster,Community Options - Delco (377011),Community Options,Onboarding - Complete,PA,NJ,19,100%,4/1/2024,PDC,dailies- home; CF office,1,"OB, 2/29: contract issues, pushing to 4/1 go live;",,28299465536
Mary Pelletier,Mid-State ARC,,Sales - Initial Communication,CT,CT,67,25%,4/1/2025,Hancock and ?,Courier,11,"dropped in 1/3-Southington ARC reference supporting meeting / transition.
",8/9/2024,32370261782
Nanette Wrobel,La'Arche,L'Arche,Sales - Initial Communication,National,Austin,100,10%,9/1/2025,,TBD,,service in Illinois-across country,4/1/2024,28310920582
Blaire Reed,A&A HCS,,Sales - Inactive,TX,Austin,50,50%,2/1/2025,Multiple Local,Host Home,32,Not able to consolidate further delivery options. Remove from pipeline.,,28310304354
Nanette Wrobel,Richmond Community Services,,Sales - Initial Communication,NY,NJ,90,10%,9/1/2025,GrassyHill Pharmacy,Courier,17,Follow up with D. Rodenbury; 16 homes and 1 Lg. facility in Yonkers,4/20/2024,28306859023
Adam Chittam,Sevita TN - Clarksville,Sevita,Sales - Contract Negotiation,TN,Austin,25,95%,5/1/2025,Other,Central Office,35,updated that they are still working on their licensing,5/5/2024,28305932102
Blaire Reed,A New Leaf,,Sales - Inactive,OK,Austin,90,10%,4/1/2025,TBD,,1,Multiple reach outs have been done.,2/9/2024,28309847318
Nanette Wrobel,David's House,David's House Ministries,Sales - Initial Communication,MI,IL,52,10%,6/1/2025,TBD,TBD,,followup next year,10/1/2023,28299776626
AJ Forster,NJID (NJ Institute for Disabilities),,Sales - Initial Communication,NJ,NJ,125,10%,5/1/2025,IPPC,Deliver to office,25,Continue to reach out to leadership,2/16/2024,28297204371
Jess Jacobs,Duet - Omaha,Duet,Sales - Initial Communication,NE,Austin,50,10%,6/1/2025,"Kohhls, Redlers",Central Office,4,"Connected back with Lewis Ruperti, Regional Director,  he is still reviewing options and championing to is executive team",7/19/2024,28306397547
Marc Altholz,Northern Liberties (PA),,Onboarding - Complete,PA,NJ,6,100%,11/1/2024,HomeFreeRx,,,,,28306089582
Deb Maloy,Your Happy Place (188207),,Onboarding - Complete,OH,Austin,15,100%,3/1/2024,Cambden Village Pharmacy,,1,Sales: Received referral from Choices RN-contacted 1/26-spokeon 1/29 and in onboarding to Go Live 3/1/24.,1/29/2024,28305313140
Deb Maloy,Benchmark-GA,Benchmark HS,Sales - Contract Negotiation,GA,GA,30,95%,6/1/2025,Pharmerica,Courier,2,"Spoke to Kim, Belinda is working as  nruse currently-working to find nurses to free up her time to oversee transitioning. Definitely wants to transition. 

",8/16/2024,28302774533
Adam Chittam,Project Hope (Spartanburg SC),,Sales - Inactive,SC,SC,20,10%,4/1/2025,,,,Following up from SCAAIDD to verify residential services,10/25/2023,28300922228
Mary Pelletier,ASPIRE-CT,Aspire,Sales - Initial Communication,CT,CT,80,20%,10/1/2025,Multiple,Courier,20,Admin/ contact changes in CT; seeking new MA connection and potential business there too.,2/22/2024,32370259598
AJ Forster,RHD- MO Day Program,RHD,Sales - Inactive,MO,IL,112,50%,3/1/2025,Multiple,Fed-Ex,1,Remove,9/21/2023,28310611803
Adam Chittam,Sunrise Community VA (132001),Sunrise,Onboarding - Complete,VA,Austin,30,100%,8/1/2024,Pharmacy Alternatives,Central office,1,Confirmed 7/1 go live and gathering initial 2 pager data and have already scheduled  onboarding kick off call,1/12/2024,28309536928
AJ Forster,Communities of Don Guanella,DGDP Communities,Sales - Presentation,PA,NJ,27,90%,7/1/2025,Grane,TBD,1,"Communities of Don Guanella
",3/1/2023,28303082607
Mary Pelletier,Continuum of Care- I/DD Division,Continuum of Care,Sales - Contract Negotiation,CT,CT,56,75%,4/1/2025,Suburban,Courier,11,"56 ppl in I/DD division; scheduling 2nd meeting with admin and managers for this week.

",7/26/2024,28301695662
Deb Maloy,Judevine Center for Autism,,Sales - Inactive,MO,KS-Lawrence,43,90%,1/1/2025,Winkelman and Parkland,Courier,2,REMOVE (CEO DIRECTED TO INTERVIEW LOCAL),10/3/2024,28309536927
AJ Forster,Community Options MD (142001),Community Options,Onboarding - Complete,MD,NJ,87,100%,2/1/2024,Alco,Fed-Ex to Home,27,"OB, 1/26: confirming regions for deliveries (agency doesnt think staff will be home when fedex delivers); Sales: Contract due back 12.22 On-boarding initiated.",11/3/2023,28303237257
AJ Forster,Community Options - Northumberland PA (377009),Community Options,Onboarding - Complete,PA,NJ,6,100%,4/1/2024,PDC,dailies- home; CF office,4,"OB, 3/8: NEED Call, packet for location, insurance info, cycle dates, delivery confirmation (Call with 3 region directors for CO-PA on 2/1, Central will be 4/1 go live d/t survey);  Sales: Go Live 3/1 for Lancaster",,28299927979
Jess Jacobs,Mosaic - Southeast NE,Mosaic,Sales - Inactive,NE,Austin,80,25%,2/1/2025,Redler's and Kohhls,,,"Working with State DON, Stephanie Stamp to coordinate presenation",3/22/2024,28308454832
AJ Forster,Heart 2 Heart - PA (372122),,Onboarding - Complete,PA,NJ,9,100%,9/1/2024,IPPC,Deliver to home,5,Contract in hand. Awaiting feedback from COO in regards to seperation from IPPC,2/16/2024,28307467008
Deb Maloy,ADEC,,Sales - Initial Communication,IN,Austin,80,15%,11/1/2025,Williams Brothers,Courier,4,Ongoing follow up,7/2/2024,28302161986
Blaire Reed,Hope House of Austin,,Sales - Inactive,TX,Austin,25,10%,4/1/2025,NW Hills,Central Office,1,Remove from Pipeline. Medical Liasion and RN not intersting in changing pharmacy.,9/6/2024,28301386929
Deb Maloy,St Louis Life,,Sales - Inactive,MO,IL,16,100%,2/1/2025,EvergSpring,FedEx,1,"Wanted our service, but it was determined to not support them. Taking a 2nd look",4/26/2024,28310304353
Adam Chittam,Open Arms Care (Greenville),,Sales - Initial Communication,TN,Austin,24,30%,11/1/2025,local,Central Office,1,"In touch with head RN, and planning a visit/presentation",7/1/2024,28308763935
Blaire Reed,"Angel Care, Inc",,Sales - Inactive,TX,Austin,15,10%,3/1/2025,Clinic Pharmacy of Rotan,Central Office,1,Not intersted in changing pharmacy at this time,9/6/2024,28305779213
Deb Maloy,Easy Living,,Sales - Inactive,MO,KS-Lawrence,45,10%,2/1/2025,Local,Courier,4,REMOVE,8/23/2024,28304848735
Blaire Reed,29 Acres (6107) - Part 1,,Onboarding - Complete,TX,Austin,3,100%,9/1/2024,"Walgreens, CVS, Local",Central Office,1,Presentation 6/25. Pharmacy agreement sent. Debra has been out with newborn baby. She is checking in with Mariah to get agreement confirmed,4/19/2024,28302927647
Marc Altholz,Gray Legacy Services Smiley,,Onboarding - Complete,TX,Austin,12,100%,11/1/2024,TBD,Deliver to Office,1,,10/9/2024,28298690094
Deb Maloy,Platte Co Board of Services,,Sales - Inactive,MO,IL,25,10%,2/1/2025,Neighborhood,FedEx,4,REMOVE,6/14/2024,28297886567
Jess Jacobs,Systems Unlimited,,Sales - Inactive,IA,Austin,60,25%,2/1/2025,,,,"Spoke with supported living coordinator, recently let their nurse go and are realigning services, she is going to work on introducing me to DOO",3/1/2024,28305779212
Jess Jacobs,Progress Industries,,Sales - Inactive,IA,Austin,75,10%,3/1/2025,,,,"introduced to Nicole Savage, LPN, working to coordinate time to presetn",3/1/2024,28304167324
Blaire Reed,ResCare,ResCare,Sales - Initial Communication,LA,LA,200,10%,4/1/2025,PAL,Central Office,1,"Local nurse attended meal program. Setting up meeting with Shelley and contacts she knows. Reached out to Kandalyn, RN",8/23/2024,28301850445
Nanette Wrobel,Joseph's Rehabilitation (412150),,Onboarding - Complete,IL,IL,24,100%,5/7/2024,,,4,Onboarded directly through Triage; IL pharmacy services,5/3/2024,28305003375
Jess Jacobs,Class LTD - Columbus (Cherokee) KS (481512),Class LTD,Onboarding - Complete,KS,KS-Wichita,10,100%,7/15/2024,Local(s),Central Office,1,"agreement signed, gathering rosters and coordinating onboarding call",2/23/2024,28297048981
Deb Maloy,Luther Homes,,Sales - Inactive,OH,Austin,100,10%,5/1/2025,Multiple,Courier,4,REMOVE,6/7/2024,28306089581
Deb Maloy,CARH (182198),,Onboarding - Complete,OH,Austin,10,100%,2/1/2024,Fitzgeralds,Home,1,MOVE TO ONBOARDING IN PROGRESS,,28301386928
AJ Forster,RHD - RSS,RHD,Onboarding - Complete,PA,NJ,37,100%,11/1/2024,Multiple,Hybrid,1,,,28310920581
Nanette Wrobel,CP Unlimited,,Sales - Initial Communication,NY,NJ,1000,10%,9/1/2025,NY Specialty Pharmacy,Deliver-to-home,,ongoing discussions,5/1/2023,28309381495
Blaire Reed,Regency Community Services,,Sales - Initial Communication,TX,Austin,25,10%,4/1/2025,Caravjal,Central Office,1,Ongoing communication f/u,9/6/2024,28308299437
Mary Pelletier,Key Human Services,Keystone Human Services,Sales - Presentation,CT,CT,122,30%,7/1/2025,Suburban,Courier,30,"ExD agreed to presentation after mid Jan- await date; meeting with team members this week
",6/12/2024,28301850444
Nanette Wrobel,Goldie Floberg,,Sales - Presentation,IL,IL,60,50%,6/1/2025,Oregon,Central Office,1,meeting to be set in Dec 2024,9/1/2023,28298846746
Blaire Reed,Care Solutions,,Sales - Initial Communication,LA,LA,50,10%,5/1/2025,Walgreens,Central Office,1,Reconnecting with new RN Theresa,5/23/2024,28306245442
Nanette Wrobel,Ada S McKinley (412173),,Onboarding - Complete,IL,IL,105,100%,2/1/2024,PAL,deliver to home; CF & CNCF to office,14,"OB, 1/26: will need MARs are EOM to reconcile (pushed again to 2/1 go live), PAL said they would send us transfers needed; 11/11: bumped to 1/1 go live; already sent refill requests, retimed, and pushing QM transfer back",7/1/2023,28299311142
Nanette Wrobel,"Able-2 Enhancing Potential,Inc",,Sales - Initial Communication,NY,NJ,66,10%,9/1/2025,Health Direct,Courier,9,Several interest areas; DON and RN reviewing; Rx access is a difficult issue for off hours in this area;overnight Fedex is a +,1/12/2024,28297359368
Jess Jacobs,Hearts of Love,,Sales - Inactive,KS,KS-Wichita,30,40%,3/1/2025,Dandurand,Central Office,1,decided to stay with local pharmacy into the new year 2025,9/6/2024,28309536926
Nanette Wrobel,AHRC Queens (362014),AHRC,Onboarding - Complete,NY,NJ,188,100%,7/1/2024,Various,deliver to home,42,"Bronx, New York and Queens",8/1/2023,28303082606
Nanette Wrobel,RHA NC - Goldsboro (166555),RHA,Onboarding - Complete,NC,Austin,4,100%,3/1/2024,BlueRidge,Deliver to Home,1,Goldsboro home - meds will be delivered to home; will need short cycle 3/15 to 3/31,,28301695661
Adam Chittam,Key Support Services,,Sales - Inactive,VA,Austin,30,20%,9/1/2025,Bremo,FedEx,3,Having to reconnect to establish relationship from where Wendi left off,4/12/2024,28310304351
Nanette Wrobel,CP Unlimited-Constructive Partnerships-Brewster,,Sales - Presentation,NY,NJ,63,30%,9/1/2025,Total Care Pharmacy,Courier,9,followup from previous rep,10/13/2023,28309847316
AJ Forster,Aspire,Alliance,Sales - Contract Negotiation,CT; MA; MD; NJ,NJ,53,90%,3/1/2025,Northern,Fed-Ex,20,"Contract under review. Confirmed 3/1 start. Has individuals on two medication plans that could be an issue. Speak with Ex. Dir. w/ Marc
",7/12/2024,28309691538
Deb Maloy,Trinity,,Sales - Initial Communication,KY,Austin,30,15%,10/1/2025,Local /Retail,FedEx,3,Calling for presentation,2/8/2024,28307012754
Jess Jacobs,Northstar Services,Northstar Services,Sales - Initial Communication,NE,Austin,215,10%,6/1/2025,"Multiple, vaires per region",Central Office,27,"Working with Nina Baldwin, VP Director of Health Services,  will follow up after holiday",8/16/2024,28306397546
Mary Pelletier,RMS-West Region,RMS,Onboarding - In Progress,CT,CT,56,100%,3/1/2025,Seybridge,Courier,11,"Contract signed
.",,28306397545
Nanette Wrobel,Care Design NY,,Sales - Initial Communication,NY,NJ,,10%,9/1/2025,Various,various,,followup from previous rep,3/28/2024,28303703466
Blaire Reed,ARC GNO,ARC,Onboarding - In Progress,LA,LA,19,100%,2/1/2025,Sterling,Central Office,1,Received signed agreement,8/23/2024,28303237256
Adam Chittam,Sunrise CT - 1 (352036),Sunrise,Onboarding - Complete,CT,CT,12,100%,9/1/2024,Med Pharm LTC,Courier,,Received word from state director that they are wanting to move forward for 8/1.  Confirming to get the ball rolling,1/12/2024,28298690093
Mary Pelletier,"Options Unlimited, Inc.",Options Unlimited,Sales - Initial Communication,CT,CT,30,15%,7/1/2025,Suburban,courier,8,early Feb presentation,1/10/2025,32370258093
Marc Altholz,Freedom (PA),,Onboarding - Complete,PA,NJ,3,100%,11/1/2024,HomeFreeRx,,,,,28310920579
Adam Chittam,"Individuals First, Inc.",,Sales - Initial Communication,VA,Austin,30,20%,7/1/2025,ACT Pharmacy,FedEx,4,Following up with Julia Tolley (missed at VNPP) but filled out a preconference survey,10/8/2024,28310611802
Nanette Wrobel,Avenues to Independence,,Onboarding - In Progress,IL,IL,47,100%,2/1/2025,Syncrany,office,9,signed contract 12/12/24,9/18/2024,28309536925
Mary Pelletier,Oak Hill - Consolidation Part 3,,Sales - Contract Negotiation,CT,CT,110,75%,6/1/2025,CTPharmacy/East Rock,Courier,23,"""Due to looming 1199 strike in March- plans for consolidation are on hold
""

",2/13/2023,28309228447
Blaire Reed,The Harmony Center,,Sales - Presentation,LA,LA,64,35%,4/1/2025,Doc you Dose,Central Office,1,"Check In call tomorrow. DON has been OOF extensively. Stopping in next Tuesday

",5/23/2024,28308763934
Nanette Wrobel,"Free, Inc",,Sales - Initial Communication,NY,NJ,50,10%,9/1/2025,Martins,Courier,13,followup from previous rep,9/15/2023,28308144267
Nanette Wrobel,Anderson Ctr for Autism,,Sales - Initial Communication,NY,NJ,100,10%,9/1/2025,Multiple- McCarthy's Primary,Courier,25,25 IRAs in 3 counties of NYS-scheduling presentation,9/15/2023,28305313139
Nanette Wrobel,RHA NJ Broadway (392502),RHA,Onboarding - Complete,NJ,NJ,45,100%,2/1/2024,UnionRX,Deliver to Home,11,"OB, 1/25: NEED: insurance for a few individuals (Agency working on) and transfers - working with agency on items; New acquisition (Broadway) meeting CNO at Presentation to staff 11/14/23",2/1/2023,28300610599
Deb Maloy,REM Ohio Sevita,,Sales - Inactive,OH,Austin,100,15%,3/1/2025,TBD,,4,"Stopped at the Akron Office, dropped off bags and asked Misty (Area Director) to call me if able after intereview. Buffie not in the office today (9/10).",5/17/2024,28299776624
Marc Altholz,Vantage Support Living,,Onboarding - Complete,MO,KS-Lawrence,15,100%,11/1/2024,TBD,FedEx,1,"Have contract in hand, expected to return next week w/ a go live date of 11.1.24.",3/1/2024,28298350947
Blaire Reed,29 Acres - Part 3,,Onboarding - Complete,TX,Austin,12,100%,11/1/2024,,,,29 Acres – rolling out over 3 months,,28296894749
AJ Forster,Melmark Schoemaker (372119),Melmark,Onboarding - Complete,PA,NJ,50,100%,7/1/2024,Grane,Central Office,1,Signed. Go live 7.1 (155 people),3/1/2023,28307166757
AJ Forster,QMANJ,,Sales - Presentation,NJ,NJ,60,10%,5/1/2025,Union,courier,18,Spoke with Residential Director.   Coordinating with nurse to schedule pre-presentaiton meeting.,3/29/2024,28305932101
Adam Chittam,Sunrise Community (TN Greenville),Sunrise,Sales - Presentation,TN,Austin,51,30%,6/1/2025,Corley's (local),Central Office,1,"Spoke with dir (Stacy) at Sunrise corp retreat and she said to stay on them that the had a conversation with Corley's about thing they want that we offer and gave them a 9 month timeline, following up early December",11/1/2024,28302161985
Blaire Reed,Valley Family Limited,,Onboarding - In Progress,TX,Austin,18,100%,2/1/2025,Frys,Central Office,1,Received signed pharmacy agreement 12/19,9/6/2024,28298350946
Blaire Reed,Rock House - Georgetown,,Sales - Contract Negotiation,TX,Austin,50,60%,3/1/2025,Tanglewood,Central Office,8,"Per Mike meeting next week to see if ready for 3/1 go live
",10/20/2023,28309536924
Nanette Wrobel,Springbrook,,Sales - Initial Communication,NY,NJ,104,20%,8/1/2025,multi; Health Direct is primary,Courier,26,followup from previous rep,11/6/2023,28309228446
Nanette Wrobel,Macon Resources,,Sales - Contract Negotiation,IL,IL,68,80%,6/1/2025,"Critical Care, RX",Fed Ex,,"still very interested, wants communiccation after first of year",4/1/2023,28309074300
Adam Chittam,Middle Ga CSB,,Sales - Initial Communication,GA,GA,30,10%,7/1/2025,multiple,local,5,Spoke with staff at GA Gathering conference getting connected to staff to schedule presentation,9/5/2024,28300083238
Adam Chittam,Progressive Directions Inc.,,Sales - Initial Communication,TN,Austin,150,10%,10/1/2025,DelMar,FedEx,15,Spoke with VP of region one and while not upset with Delmar was open to a conversation,9/1/2024,28299311141
Deb Maloy,Achieving Dreams (182209),,Onboarding - Complete,OH,Austin,8,100%,5/1/2024,Genoa,Central,1,Incumbent pharmacy was Allen’s but it is now Genoa.,3/28/2024,28309381493
AJ Forster,RHD- ACT Team LA,RHD,Sales - Initial Communication,LA,LA,100,50%,6/1/2025,Local,Deliver to Office,1,Continue to work with program leadership for additional opportunities,9/21/2023,28308918960
Adam Chittam,D&S/Sevita-Memphis (103124),Sevita,Onboarding - Complete,TN,Austin,65,100%,8/1/2024,Local (Guardian),Central Office,1,Reached out to begin conversation as directed by Sevita,4/23/2023,28308454831
Blaire Reed,Live Oak Living,,Sales - Initial Communication,TX,Austin,40,10%,5/1/2025,Pharmacy Alternatives,Central Office,1,"Performing reach out to connect with local contact. Planning visit in February
",4/19/2024,28306859022
Adam Chittam,Chimes,,Sales - Initial Communication,VA,Austin,35,10%,8/1/2025,Pharmacy Alternatives,FedEx,1,"Communicating w/Ernest Jackson, ED on Presentation date",7/19/2024,28306245441
Nanette Wrobel,South Side Parents Association,,Sales - Inactive,IL,IL,30,30%,6/1/2025,PAL,deliver to office,1,awaiting response to meeting appt,8/30/2024,28305313138
AJ Forster,RCM of Washington,,Sales - Initial Communication,MD; DC,NJ,85,10%,7/1/2025,Alco,Deliver to home,25,Attended Therap conference.  Working on getting presentation scheduled for MD.  Waiting on license to be processed for pharmacy services in DC where largest portion of their residential services are.,2/16/2024,28304167323
Mary Pelletier,Oak Hill - Part 2 (352035),,Onboarding - Complete,CT,CT,82,100%,6/1/2024,Hancock and Suburban,Courier,14,Onboarding call 4/5/24; Therap access set up,,28303856032
Holly DeRosett,Colorado Blue Sky Enterprises,,Sales - Initial Communication,CO,Austin,25,10%,5/1/2025,Walgreens,,1,"working with Micky to get her executive team to meet the week of January 27th. 
",8/30/2024,28302161984
Jess Jacobs,B & D Services,,Sales - Presentation,IA,Austin,50,25%,3/1/2025,Local,Central Office,2,rescheduled presentation due to staffing shortage and pharmacy moving down in priorities,5/10/2024,28301695660
Deb Maloy,ECI-West Chester OH (182184),,Onboarding - Complete,OH,Austin,37,100%,3/1/2024,Pillar Pharmacy (prev. Centerville Pharmacy),,15,"OB, (call 2/1); Sales: Spoke with Sam in Tiffin regarding transitioning the additional individuals in SW Ohio region. Meeting with RD 1/31/24 to discuss. (JOSE -PUT IN ONBOARDING)",1/31/2024,28301075580
AJ Forster,RHD - Adesha Village,RHD,Onboarding - Complete,PA,NJ,28,100%,11/1/2024,Multiple,Hybrid,1,,,28299927978
Mary Pelletier,Oak Hill - Carriage Dr. (OB via CT pharmacy) (352016),,Onboarding - Complete,CT,CT,6,100%,4/1/2024,Suburban,Courier,1,Onboarding directly through CT Pharmacy,,28299311140
Deb Maloy,New Horizons - IN,,Sales - Initial Communication,IN,Austin,40,15%,8/1/2025,George's Pharmacy,Courier,4,"1/2/25 called , unable to leave message or get operator at this time.  (Communication from Chris ED that they intend to hire a nurse in order to distribute caseloads and will move forward following this).",10/6/2023,28297204369
Jess Jacobs,ClassLTD - Supported Living CK/CL,Class LTD,Sales - Presentation,KS,KS-Wichita,60,75%,3/1/2025,"Evans Drug, Lindenburg RX",Central Office,2,coordinating presentation with Supported Living Director and guardians,6/14/2024,28296894748
Deb Maloy,Wabash Center,,Sales - Inactive,IN,Austin,70,90%,2/1/2025,Parkside,Courier,24,REMOVE (Staying with current pharmact at this time),,28309228445
Holly DeRosett,Golden Sun,,Sales - Inactive,AZ,Austin,14,65%,12/1/2024,Varies,Office,1,"Spoke with Craig, he has sent the pharmacy letter to the families and will be hosting a family night October 29th. 
",9/13/2024,28305470293
Deb Maloy,Washington Co Handicap,,Sales - Inactive,MO,IL,30,20%,2/1/2025,John's RX,FedEx,1,REMOVE,5/24/2024,28305470292
Jess Jacobs,Autism Center of Nebraska,Autism Center of Nebraska,Sales - Initial Communication,NE,Austin,55,10%,5/1/2025,Kohhls,Central Office,2,"new executive director, meeting res director, Michael Blackstone and new ED 12/19",7/19/2024,28304167322
Marc Altholz,Families United (PA),,Onboarding - Complete,PA,NJ,14,100%,11/1/2024,HomeFreeRx,,,,,28303392284
Holly DeRosett,"Our Own Lives, Inc",,Sales - Inactive,CO,Austin,50,25%,12/1/2024,ClearSprings,Central Office,1,"met and spoke with VP of Ops, Jeff Newman, cooridnating presentation for week of 23rd",8/23/2024,28300456063
Jess Jacobs,Mosaic South Central Nebraska,Mosaic,Sales - Inactive,NE,Austin,20,25%,2/1/2025,Kohhls and Neighborhood,Central,3,cooridnating presentation with DON,3/22/2024,28300238211
Holly DeRosett,Wellspring Community,,Sales - Inactive,CO,Austin,20,25%,12/1/2024,new residential provider,Office,,"10/31- Received notification that they have decided to use a local pharmacy.
",,28299002445
AJ Forster,Melmark Aston B (372120),Melmark,Onboarding - Complete,PA,NJ,28,100%,7/1/2024,Grane,Central Office,1,Signed. Go live 7.1 (155 people),3/1/2023,28298350945
Holly DeRosett,Aires- Phoenix,,Onboarding - In Progress,AZ,Austin,43,100%,1/1/2025,Omnicare,Office,1,Received signed agreement. Onboarding scheduled for 11/26,9/27/2024,28296138343
Adam Chittam,Faith Dwellings,,Onboarding - Complete,GA,GA,9,100%,11/1/2024,Guardian & 4 locals,Courier,1,Scheduling onboarding meeting for the week of 9/23,9/6/2024,28296138342
AJ Forster,Community Options - Western PA,Community Options,Onboarding - In Progress,PA,NJ,114,95%,4/1/2025,PDC,Hybrid,78,Current under contract until 05/2025. Contract Signed,11/22/2023,28304167321
Nanette Wrobel,Search,,Sales - Initial Communication,IL,IL,200,20%,9/1/2025,Uvanta,TBD,,"Is Uvanta closing?
",8/30/2024,28310304350
AJ Forster,Wesley Family Services,,Sales - Initial Communication,PA,NJ,400,10%,6/1/2025,TBD,TBD,1,Continue to reach out to leadership,10/16/2023,28305158464
Blaire Reed,The Village Learning Center,,Sales - Initial Communication,TX,Austin,40,10%,5/1/2025,Green Path,Central Office,1,"Meeting scheduled end of February. Opening 2 more group homes.
",9/6/2024,28299002444
Deb Maloy,Pathfinders - IN,,Sales - Initial Communication,IN,Austin,20,15%,9/1/2025,Pharmerica,Courier,4,"Kelley Miller, DON replied-made a major change with EMAR and not currently looking to make another major change in the near future.",5/16/2024,28310151971
Nanette Wrobel,Institute of Applied Human Dynamics,,Sales - Initial Communication,NY,NJ,50,10%,9/1/2025,"Nader*, Allure, Segwick",Courier,12,followup from previous rep,2/22/2024,28308609365
Nanette Wrobel,Vanderhyden,,Sales - Initial Communication,NY,NJ,100,10%,9/1/2025,Multiple,Courier,11,1/18 'not interested at this time'. Suggested fall; Reapproach Sept.,10/20/2023,28303856031
AJ Forster,NCFL – River Vale (new home via triage) (392016),NCFL,Onboarding - Complete,NJ,NJ,5,100%,3/1/2024,N/A,Deliver-to-home,1,OB: going through triage; Sales: New homes opening early 2024,11/10/2024,28299927977
Nanette Wrobel,TCRC,ARC,Sales - Presentation,IL,IL,60,40%,6/1/2025,Greentree,TBD,,"met CEO at Instirute, nurse retiring, wants appt in Dec2024",2/1/2023,28299776622
Blaire Reed,Billings Fairchild Center,,Sales - Initial Communication,OK,Austin,150,10%,5/1/2025,Foster Corner Drug,Central Office,1,"Care Providers Oklahoma. ADON Beth rated pharmacy a 6/10. Reaching back out to local nurses.
",5/23/2024,28306397544
Nanette Wrobel,Covenant Enabling Part 2 Michigan,Covenent Church,Sales - Contract Negotiation,MI,IL,32,80%,6/1/2025,Local,Deliver to Home,,"new ED coming on board, will transition at that time",8/1/2023,28303082605
Deb Maloy,REM/Sevita -Akron,,Sales - Inactive,OH,Austin,100,15%,3/1/2025,Omnicare and Acuscripts,Courier,4,REMOVE,6/13/2024,28310151970
Jess Jacobs,Progress Industries - Newton,Progress Industries,Sales - Initial Communication,IA,Austin,58,25%,12/1/2025,Right Dose,Central Office,1,"spoke with Nicole Savage, LPN, we are working on coordinating presentation",8/2/2024,28309691536
Nanette Wrobel,Moutain Lake Services,,Sales - Initial Communication,NY,NJ,220,10%,9/1/2025,Mariah& Adirondack Pharmacy,Courier,,eMARs under review- Improvon ; pkt sent to DON Tabitha;,4/26/2024,28300083237
Jess Jacobs,Community Options - Iowa,Community Options,Onboarding - Complete,IA,Austin,26,100%,11/1/2024,Neighborhood LTC,,6,Will schedule onboarding call for week of 23rd and begin collecting data,9/18/2023,28300083236
Blaire Reed,Gatesway,,Sales - Initial Communication,OK,Austin,50,10%,5/1/2025,Quality First,Central Office,1,Met Admin Brandon Albright at CPO. Connecting back with local staff,5/23/2024,28298350944
Deb Maloy,Gentlebrook (West Lafayette),,Sales - Presentation,OH,Austin,60,10%,6/1/2025,Absolute,Courier,1,"Working to reconnect with DON. 
",8/16/2024,28297048980
